"SSD" "CFU" "LAUREA" "MATERIA" "STUDIO_TOT" "RAPP_CFU" "VOTO" "LEZIONI" "STUDIO_PERS"
"1548" "SECS-P/08" 5 "sigad" "14204" 64 0.512 27 30 24
"536" "SECS-S/01" 12 "sse" "14452" 206 0.686666667 21 70 108
"1442" "SECS-S/04" 5 "sse" "14100" 101 0.808 25 10 81
"1331" "SECS-S/04" 8 "siap" "10066" 142 0.71 22 62 80
"234" "SECS-S/01" 8 "sigad" "14552" 125 0.625 22 35 70
"98" "SECS-S/04" 8 "siap" "10066" 200 1 25 70 120
"1334" "INF/01" 2 "sigad" "14350" 197 3.94 24 24 144
"1586" "SECS-S/05" 5 "sse" "14544" 130 1.04 30 35 75
"1408" "SECS-P/07" 6 "sigad" "14198" 174 1.16 30 30 144
"116" "SECS-S/01" 5 "siap" "10168" 170 1.36 22 40 90
"1289" "SECS-P/08" 5 "sigad" "14204" 73 0.584 23 15 40
"1520" "MAT/06" 8 "sigad" "14044" 178 0.89 24 48 96
"1386" "IUS/01" 4 "sigad" "14116" 52 0.52 30 20 8
"328" "MAT/06" 10 "sse" "14040" 357 1.428 25 60 252
"875" "SECS-P/07" 10 "sse" "14178" 130 0.52 23 70 50
"627" "SECS-S/01" 12 "sse" "14452" 330 1.1 30 65 245
"1010" "SECS-S/01" 5 "siap" "10168" 416 3.328 27 35 375
"1224" "SECS-S/01" 10 "sse" "14454" 160 0.64 23 20 120
"270" "MAT/05" 8 "sigad" "14050" 792 3.96 27 48 720
"810" "SECS-S/01" 10 "sse" "14484" 285 1.14 30 70 180
"1502" "SECS-S/01" 12 "sse" "14452" 60 0.2 25 60 0
"1360" "SECS-S/01" 8 "sigad" "14552" 742 3.71 18 48 660
"1155" "SECS-P/01" 2 "siap" "10152" 166 3.32 28 66 100
"288" "SECS-P/07" 6 "sigad" "14198" 80 0.533333333 18 30 10
"1312" "SECS-S/01" 12 "sse" "14452" 915 3.05 22 0 900
"574" "SECS-S/01" 12 "sse" "14450" 140 0.466666667 21 50 40
"1582" "SECS-S/05" 5 "siap" "10176" 90 0.72 28 30 50
"610" "SECS-S/01" 10 "sse" "14458" 429 1.716 25 65 350
"1515" "INF/01" 2 "sigad" "14350" 101 2.02 28 25 48
"1598" "SECS-S/01" 10 "sse" "14484" 240 0.96 26 60 140
"962" "L-LIN/12" 11 "sse" "15484" 175 0.636363636 27 70 80
"435" "SECS-S/01" 10 "sse" "14452" 406 1.624 28 70 300
"748" "SECS-S/05" 5 "sse" "10148" 185 1.48 21 35 150
"1184" "SECS-P/05" 10 "sse" "14160" 260 1.04 27 40 210
"950" "L-LIN/12" 11 "sse" "15484" 164 0.596363636 21 60 82
"1501" "SECS-S/01" 12 "sse" "14452" 924 3.08 27 58 840
"889" "MAT/06" 10 "sse" "14040" 114 0.456 21 44 70
"415" "SECS-S/01" 10 "sse" "14452" 420 1.68 28 100 300
"615" "SECS-S/01" 10 "sse" "14458" 324 1.296 30 68 240
"800" "SECS-S/01" 12 "sse" "14450" 129 0.43 30 70 4
"208" "SECS-S/04" 5 "sigad" "14110" 56 0.448 30 20 30
"1393" "SECS-P/07" 6 "sigad" "14198" 80 0.533333333 27 44 32
"1343" "INF/01" 2 "sigad" "14350" 28 0.56 30 22 2
"696" "MAT/02" 6 "sse" "14270" 208 1.386666667 24 50 120
"23" "SECS-S/01" 9 "siap" "10182" 464 2.062222222 26 64 400
"935" "MAT/06" 10 "sse" "14040" 160 0.64 24 60 100
"547" "MAT/05" 12 "sse" "14030" 480 1.6 24 100 280
"232" "SECS-S/01" 8 "sigad" "14552" 142 0.71 28 48 70
"34" "SECS-S/05" 9 "siap" "10184" 202 0.897777778 27 58 126
"1506" "SECS-S/01" 9 "sigad" "14554" 240 1.066666667 30 48 120
"240" "SECS-S/01" 8 "sigad" "14552" 180 0.9 25 44 96
"758" "MAT/06" 8 "sse" "14510" 198 0.99 30 16 102
"1467" "SECS-S/04" 5 "sigad" "14110" 88 0.704 24 36 40
"539" "SECS-S/01" 12 "sse" "14452" 312 1.04 25 48 240
"607" "SECS-S/01" 10 "sse" "14458" 240 0.96 27 70 150
"412" "SECS-S/01" 10 "sse" "14452" 1190 4.76 28 70 1080
"1542" "SECS-S/3" 4 "sigad" "14070" 25 0.25 20 10 15
"436" "SECS-S/01" 10 "sse" "14452" 988 3.952 30 68 880
"1244" "SECS-S/05" 5 "siap" "10176" 102 0.816 30 30 56
"560" "MAT/05" 12 "sse" "14030" 1070 3.566666667 18 80 960
"75" "SECS-S/03" 10 "sse" "14080" 136 0.544 28 66 60
"674" "SECS-S/03" 10 "sse" "14456" 190 0.76 30 70 120
"864" "SECS-S/01" 10 "sse" "14484" 162 0.648 28 61 70
"1527" "SECS-S/3" 4 "sigad" "14070" 54 0.54 18 30 24
"970" "SECS-S/01" 9 "siap" "10182" 214 0.951111111 28 60 150
"755" "SECS-S/01" 10 "sse" "14454" 854 3.416 27 68 720
"738" "SECS-S/05" 5 "sse" "14276" 204 1.632 31 62 135
"1395" "SECS-P/07" 6 "sigad" "14198" 156 1.04 24 32 120
"88" "SECS-S/05" 9 "siap" "10184" 286 1.271111111 27 66 200
"801" "SECS-S/01" 12 "sse" "14450" 285 0.95 25 70 125
"754" "SECS-S/01" 10 "sse" "14454" 818 3.272 30 68 540
"1040" "SECS-S/01" 9 "siap" "10180" 230 1.022222222 30 70 128
"230" "SECS-S/01" 8 "sigad" "14552" 243 1.215 18 44 175
"811" "SECS-S/01" 10 "sse" "14484" 215 0.86 28 50 125
"936" "MAT/06" 10 "sse" "14040" 60 0.24 26 50 10
"334" "MAT/06" 10 "sse" "14040" 310 1.24 22 50 240
"546" "MAT/05" 12 "sse" "14030" 360 1.2 18 85 240
"1568" "SECS-S/05" 5 "sigad" "14370" 78 0.624 27 30 36
"1013" "SECS-S/01" 5 "siap" "10168" 108 0.864 30 0 100
"756" "MAT/06" 8 "sse" "14510" 168 0.84 31 44 72
"876" "SECS-P/07" 10 "sse" "14178" 248 0.992 22 70 100
"1114" "MAT/06" 10 "sse" "14040" 160 0.64 26 54 100
"4" "MAT/06" 9 "siap" "10064" 130 0.577777778 24 70 60
"717" "L-LIN/12" 11 "sse" "15484" 35 0.127272727 26 0 30
"452" "SECS-S/05" 10 "sse" "14540" 151 0.604 31 66 76
"1376" "IUS/01" 4 "sigad" "14116" 44 0.44 30 20 20
"1064" "SECS-S/01" 5 "siap" "10168" 46 0.368 26 32 12
"1255" "SECS-S/05" 5 "siap" "14368" 210 1.68 28 35 175
"1361" "SECS-S/05" 5 "sigad" "14490" 118 0.944 30 12 50
"478" "SECS-S/05" 10 "sse" "14540" 204 0.816 26 60 140
"458" "SECS-S/05" 10 "sse" "14540" 98 0.392 27 67 21
"513" "SECS-S/05" 10 "sse" "14540" 308 1.232 30 68 234
"990" "SECS-S/05" 5 "siap" "10176" 287 2.296 30 35 240
"841" "SECS-S/01" 9 "siap" "10182" 226 1.004444444 24 60 150
"313" "MAT/06" 10 "sse" "14040" 216 0.864 20 56 40
"1404" "SECS-P/07" 6 "sigad" "14198" 48 0.32 24 36 8
"1299" "SECS-S/05" 10 "sse" "14540" 184 0.736 22 60 100
"1436" "INF/01" 6 "sigad" "14292" 118 0.786666667 25 36 28
"15" "SECS-S/05" 5 "siap" "10148" 510 4.08 27 30 480
"870" "SECS-P/07" 10 "sse" "14178" 438 1.752 30 64 336
"210" "SECS-S/04" 5 "sigad" "14110" 106 0.848 24 36 60
"474" "SECS-S/05" 10 "sse" "14540" 330 1.32 30 100 120
"1230" "SECS-S/01" 10 "sse" "14454" 282 1.128 30 50 192
"139" "SECS-S/05" 5 "siap" "10176" 126 1.008 24 30 90
"561" "MAT/05" 12 "sse" "14030" 410 1.366666667 20 80 300
"690" "MAT/02" 6 "sse" "14270" 391 2.606666667 22 90 256
"1347" "INF/01" 2 "sigad" "14350" 55 1.1 30 24 20
"1239" "MAT/05" 8 "sigad" "14050" 452 2.26 18 44 384
"902" "MAT/06" 10 "sse" "14040" 89 0.356 21 54 35
"260" "INF/01" 2 "sigad" "14350" 108 2.16 23 24 48
"495" "SECS-S/05" 10 "sse" "14540" 270 1.08 28 50 210
"1283" "IUS/01" 4 "sigad" "14116" 82 0.82 30 24 56
"302" "MAT/06" 10 "sse" "14040" 190 0.76 25 70 100
"283" "SECS-P/07" 6 "sigad" "14198" 295 1.966666667 26 70 225
"214" "SECS-S/03" 4 "sigad" "14070" 80 0.8 20 5 60
"1126" "SECS-S/03" 10 "sse" "14080" 132 0.528 28 68 64
"251" "INF/01" 2 "sigad" "14350" 91 1.82 27 24 45
"736" "SECS-S/05" 5 "sse" "14276" 182 1.456 31 50 112
"571" "SECS-S/01" 12 "sse" "14450" 104 0.346666667 26 50 18
"294" "SECS-P/07" 6 "sigad" "14198" 86 0.573333333 20 35 16
"565" "SECS-S/01" 12 "sse" "14450" 260 0.866666667 19 70 150
"1440" "SECS-S/04" 5 "sigad" "14110" 92 0.736 26 32 42
"1055" "SECS-S/05" 10 "siap" "14580" 203 0.812 26 60 125
"1311" "SECS-S/01" 12 "sse" "14452" 126 0.42 23 0 126
"227" "SECS-S/01" 8 "sigad" "14552" 89 0.445 25 35 32
"1102" "SECS-S/01" 10 "sse" "14454" 380 1.52 26 50 270
"90" "SECS-S/05" 9 "siap" "10184" 505 2.244444444 24 70 420
"1348" "INF/01" 2 "sigad" "14350" 73 1.46 30 24 18
"1573" "SECS-S/05" 5 "sigad" "14444" 197 1.576 28 60 57
"1509" "SECS-P/05" 10 "sigad" "14190" 94 0.376 25 24 70
"1538" "SECS-S/3" 4 "sigad" "14070" 44 0.44 18 20 24
"544" "MAT/05" 12 "sse" "14030" 928 3.093333333 26 120 768
"533" "SECS-S/01" 12 "sse" "14452" 242 0.806666667 30 72 126
"1333" "SECS-S/01" 8 "sigad" "14552" 916 4.58 20 48 840
"802" "SECS-S/01" 12 "sse" "14450" 220 0.733333333 27 70 70
"1153" "SECS-P/01" 2 "siap" "10152" 185 3.7 30 65 120
"165" "IUS/01" 4 "sigad" "14116" 78 0.78 28 22 50
"1563" "SECS-S/05" 10 "sse" "14540" 260 1.04 28 60 200
"410" "SECS-S/01" 10 "sse" "14452" 532 2.128 27 72 300
"1475" "SECS-S/04" 5 "sigad" "14110" 115 0.92 25 25 90
"1113" "MAT/06" 10 "sse" "14040" 200 0.8 23 130 50
"506" "SECS-S/05" 10 "sse" "14540" 149 0.596 26 45 100
"261" "INF/01" 2 "sigad" "14350" 58 1.16 28 24 2
"1574" "SECS-S/05" 5 "sigad" "14444" 112 0.896 28 30 72
"1516" "INF/01" 2 "sigad" "14350" 67 1.34 28 24 21
"944" "MAT/06" 10 "sse" "14040" 254 1.016 30 54 200
"356" "SECS-S/05" 10 "sse" "14276" 104 0.416 30 58 40
"464" "SECS-S/05" 10 "sse" "14540" 256 1.024 22 0 256
"857" "L-LIN/12" 11 "siap" "10140" 156 0.567272727 22 60 30
"1346" "INF/01" 2 "sigad" "14350" 60 1.2 30 24 10
"287" "SECS-P/07" 6 "sigad" "14198" 345 2.3 23 40 294
"189" "SECS-P/08" 5 "sigad" "14204" 283 2.264 24 30 245
"1473" "SECS-S/04" 5 "sigad" "14110" 150 1.2 30 30 100
"1407" "SECS-P/07" 6 "sigad" "14198" 36 0.24 25 36 0
"899" "MAT/06" 10 "sse" "14040" 300 1.2 18 0 300
"1381" "IUS/01" 4 "sigad" "14116" 72 0.72 31 24 36
"1098" "SECS-S/01" 10 "sse" "14454" 686 2.744 25 60 500
"1075" "SECS-S/05" 10 "sse" "14276" 343 1.372 24 62 256
"1085" "SECS-S/01" 10 "sse" "14454" 728 2.912 30 60 600
"817" "SECS-S/05" 9 "siap" "10184" 230 1.022222222 22 70 150
"530" "SECS-S/01" 10 "sse" "14454" 405 1.62 27 0 384
"196" "SECS-S/04" 5 "sigad" "14110" 144 1.152 28 24 108
"1185" "SECS-P/05" 10 "sse" "14160" 200 0.8 25 70 100
"613" "SECS-S/01" 10 "sse" "14458" 284 1.136 28 62 200
"1434" "INF/01" 6 "sigad" "14292" 80 0.533333333 20 36 18
"110" "SECS-S/01" 5 "siap" "10168" 94 0.752 24 34 60
"323" "MAT/06" 10 "sse" "14040" 2000 8 20 0 2000
"1062" "SECS-S/03" 8 "sse" "14304" 60 0.3 27 0 60
"512" "SECS-S/05" 10 "sse" "14540" 93 0.372 27 68 21
"1249" "SECS-S/05" 5 "siap" "14368" 164 1.312 28 28 120
"1" "SECS-S/03" 8 "sse" "14060" 399 1.995 25 24 375
"1099" "SECS-S/01" 10 "sse" "14454" 352 1.408 28 70 200
"1391" "IUS/01" 4 "siap" "14116" 131 1.31 28 36 90
"1300" "SECS-S/05" 9 "siap" "10184" 555 2.466666667 20 60 480
"91" "SECS-S/05" 9 "siap" "10184" 150 0.666666667 27 64 72
"716" "MAT/06" 10 "sse" "14040" 400 1.6 18 0 400
"865" "SECS-S/01" 10 "sse" "14484" 305 1.22 28 56 192
"204" "SECS-S/04" 5 "sigad" "14110" 47 0.376 26 30 12
"954" "L-LIN/12" 11 "siap" "10140" 162 0.589090909 30 60 72
"1186" "SECS-P/05" 10 "sse" "14160" 225 0.9 31 70 140
"890" "MAT/06" 10 "sse" "14040" 160 0.64 23 50 100
"476" "SECS-S/05" 10 "sse" "14540" 294 1.176 27 64 200
"1401" "SECS-P/07" 6 "sigad" "14198" 36 0.24 18 36 0
"292" "SECS-P/07" 6 "sigad" "14198" 124 0.826666667 26 36 72
"63" "SECS-S/01" 9 "siap" "10182" 309 1.373333333 20 64 245
"472" "SECS-S/05" 10 "sse" "14540" 149 0.596 28 100 35
"350" "SECS-S/03" 8 "sse" "14060" 123 0.615 20 0 108
