pilota;indice;primaguida;Scuderia;Tempo;Tempo ora;gp;data
M.SCHUMACHER;1;1;(Ferrari);0,0008989236111111;0,0009;EUROPA;21 maggio 2000
M.SCHUMACHER;1;1;(Ferrari);0,0009198495370370;0,0009;MONACO (MONTECARLO);4 giugno 2000
M.SCHUMACHER;1;1;(Ferrari);0,0009078587962963;0,0009;CANADA ;18 giugno 2000
M.SCHUMACHER;1;1;(Ferrari);0,0008753703703704;0,0009;FRANCIA;2 luglio 2000
M.SCHUMACHER;1;1;(Ferrari);0,0008222916666667;0,0008;AUSTRIA ;16 luglio 2000
M.SCHUMACHER;1;1;(Ferrari);0,0012391550925926;0,0012;GERMANIA;30 luglio 2000
M.SCHUMACHER;1;1;(Ferrari);0,0008971527777778;0,0009;UNGHERIA ;13 agosto 2000
M.SCHUMACHER;1;1;(Ferrari);0,0012911111111111;0,0013;BELGIAN;27 agosto 2000
M.SCHUMACHER;1;1;(Ferrari);0,0009695601851852;0,0010;ITALIAN;10 settembre 2000
M.SCHUMACHER;1;1;(Ferrari);0,0008595601851852;0,0009;USA ;24 settembre 2000
M.SCHUMACHER;1;1;(Ferrari);0,0011090856481482;0,0011;GIAPPONE ;8 ottobre 2000
M.SCHUMACHER;1;1;(Ferrari);0,0011272800925926;0,0011;MALESIA ;22 ottobre 2000
HERBERT;1;1;(Jaguar);0,0010837731481482;0,0011;AUSTRALIA ;12 marzo 2000
HERBERT;1;1;(Jaguar);0,0008825231481481;0,0009;BRASILE ;26 marzo 2000
HERBERT;1;1;(Jaguar);0,0010075347222222;0,0010;SANMARINO;9 aprile 2000
HERBERT;1;1;(Jaguar);0,0010122800925926;0,0010;GRAN BRETAGNA;23 aprile 2000
HERBERT;1;1;(Jaguar);0,0009581134259259;0,0010;SPAGNA;7 maggio 2000
HERBERT;1;1;(Jaguar);0,0009217361111111;0,0009;EUROPA;21 maggio 2000
HERBERT;1;1;(Jaguar);0,0009350925925926;0,0009;MONACO (MONTECARLO);4 giugno 2000
HERBERT;1;1;(Jaguar);0,0009253935185185;0,0009;CANADA ;18 giugno 2000
HERBERT;1;1;(Jaguar);0,0008932407407407;0,0009;FRANCIA;2 luglio 2000
HERBERT;1;1;(Jaguar);0,0008360879629630;0,0008;AUSTRIA ;16 luglio 2000
HERBERT;1;1;(Jaguar);0,0012509027777778;0,0013;GERMANIA;30 luglio 2000
HERBERT;1;1;(Jaguar);0,0009254166666667;0,0009;UNGHERIA ;13 agosto 2000
HERBERT;1;1;(Jaguar);0,0012990972222222;0,0013;BELGIAN;27 agosto 2000
HERBERT;1;1;(Jaguar);0,0009882870370370;0,0010;ITALIAN;10 settembre 2000
HERBERT;1;1;(Jaguar);0,0008822337962963;0,0009;USA ;24 settembre 2000
HERBERT;1;1;(Jaguar);0,0011264930555556;0,0011;GIAPPONE ;8 ottobre 2000
HERBERT;1;1;(Jaguar);0,0011496643518519;0,0011;MALESIA ;22 ottobre 2000
IRVINE;0;;(Jaguar);0,0010591898148148;0,0011;AUSTRALIA ;12 marzo 2000
IRVINE;0;;(Jaguar);0,0008729745370370;0,0009;BRASILE ;26 marzo 2000
IRVINE;0;;(Jaguar);0,0009945486111111;0,0010;SANMARINO;9 aprile 2000
IRVINE;0;;(Jaguar);0,0010048379629630;0,0010;GRAN BRETAGNA;23 aprile 2000
IRVINE;0;;(Jaguar);0,0009533564814815;0,0010;SPAGNA;7 maggio 2000
IRVINE;0;;(Jaguar);0,0009109143518519;0,0009;EUROPA;21 maggio 2000
IRVINE;0;;(Jaguar);0,0009345254629630;0,0009;MONACO (MONTECARLO);4 giugno 2000
IRVINE;0;;(Jaguar);0,0009317129629630;0,0009;CANADA ;18 giugno 2000
IRVINE;0;;(Jaguar);0,0008842476851852;0,0009;FRANCIA;2 luglio 2000
IRVINE;0;;(Jaguar);0,0012535300925926;0,0013;GERMANIA;30 luglio 2000
