"pilota" "primaguida"	"Scuderia"	"Tempoora"	"gp"
"GENE"	1	"(Minardi)"	01.18,13	"FRANCIA"
"GENE"	1	"(Minardi)"	01.12,722	"AUSTRIA "
"GENE"	1	"(Minardi)"	01.53,094	"GERMANIA"
"GENE"	1	"(Minardi)"	01.20,654	"UNGHERIA "
"GENE"	1	"(Minardi)"	01.54,68	"BELGIAN"
"GENE"	1	"(Minardi)"	01.26,336	"ITALIAN"
"GENE"	1	"(Minardi)"	01.17,161	"USA "
"GENE"	1	"(Minardi)"	01.39,972	"GIAPPONE "
"GENE"	1	"(Minardi)"	01.40,662	"MALESIA "
"MAZZACANE"		"(Minardi)"	01.34,705	"AUSTRALIA "
"MAZZACANE"		"(Minardi)"	01.17,512	"BRASILE "
"MAZZACANE"		"(Minardi)"	01.28,161	"SANMARINO"
"MAZZACANE"		"(Minardi)"	01.29,174	"GRAN BRETAGNA"
"MAZZACANE"		"(Minardi)"	01.24,257	"SPAGNA"
"MAZZACANE"		"(Minardi)"	01.21,07	"EUROPA"
"MAZZACANE"		"(Minardi)"	01.23,794	"MONACO (MONTECARLO)"
"MAZZACANE"		"(Minardi)"	01.22,091	"CANADA "
"MAZZACANE"		"(Minardi)"	01.18,302	"FRANCIA"
"MAZZACANE"		"(Minardi)"	01.13,419	"AUSTRIA "
"MAZZACANE"		"(Minardi)"	01.51,611	"GERMANIA"
"MAZZACANE"		"(Minardi)"	01.20,905	"UNGHERIA "
"MAZZACANE"		"(Minardi)"	01.54,784	"BELGIAN"
"MAZZACANE"		"(Minardi)"	01.27,36	"ITALIAN"
"MAZZACANE"		"(Minardi)"	01.16,809	"USA "
"MAZZACANE"		"(Minardi)"	01.40,462	"GIAPPONE "
"MAZZACANE"		"(Minardi)"	01.42,078	"MALESIA "
"ALESI"	1	"(Prost)"	01.33,197	"AUSTRALIA "
"ALESI"	1	"(Prost)"	01.15,715	"BRASILE "
"ALESI"	1	"(Prost)"	01.26,824	"SANMARINO"
"ALESI"	1	"(Prost)"	01.27,559	"GRAN BRETAGNA"
"ALESI"	1	"(Prost)"	01.22,894	"SPAGNA"
"ALESI"	1	"(Prost)"	01.19,651	"EUROPA"
"ALESI"	1	"(Prost)"	01.20,494	"MONACO (MONTECARLO)"
"ALESI"	1	"(Prost)"	01.20,512	"CANADA "
"ALESI"	1	"(Prost)"	01.17,569	"FRANCIA"
"ALESI"	1	"(Prost)"	01.12,304	"AUSTRIA "
"ALESI"	1	"(Prost)"	01.50,289	"GERMANIA"
"ALESI"	1	"(Prost)"	01.19,626	"UNGHERIA "
"ALESI"	1	"(Prost)"	01.53,309	"BELGIAN"
"ALESI"	1	"(Prost)"	01.25,558	"ITALIAN"
"ALESI"	1	"(Prost)"	01.16,471	"USA "
"ALESI"	1	"(Prost)"	01.38,209	"GIAPPONE "
"ALESI"	1	"(Prost)"	01.40,065	"MALESIA "
"HEIDFELD"		"(Prost)"	01.33,024	"AUSTRALIA "
"HEIDFELD"		"(Prost)"	01.17,112	"BRASILE "
"HEIDFELD"		"(Prost)"	01.28,361	"SANMARINO"
"HEIDFELD"		"(Prost)"	01.27,806	"GRAN BRETAGNA"
"HEIDFELD"		"(Prost)"	01.23,033	"SPAGNA"
"HEIDFELD"		"(Prost)"	"è stato squalificato dalla giuria"	"EUROPA"
"HEIDFELD"		"(Prost)"	01.22,017	"MONACO (MONTECARLO)"
"HEIDFELD"		"(Prost)"	01.21,68	"CANADA "
"HEIDFELD"		"(Prost)"	01.17,374	"FRANCIA"
"HEIDFELD"		"(Prost)"	01.12,037	"AUSTRIA "
"HEIDFELD"		"(Prost)"	01.48,69	"GERMANIA"
"HEIDFELD"		"(Prost)"	01.20,481	"UNGHERIA "
"HEIDFELD"		"(Prost)"	01.53,193	"BELGIAN"
"HEIDFELD"		"(Prost)"	01.25,625	"ITALIAN"
"HEIDFELD"		"(Prost)"	01.16,06	"USA "
"HEIDFELD"		"(Prost)"	01.38,141	"GIAPPONE "
"HEIDFELD"		"(Prost)"	01.40,148	"MALESIA "
"DINIZ"		"(Sauber)"	01.33,378	"AUSTRALIA "
"DINIZ"		"(Sauber)"	01.26,238	"SANMARINO"
"DINIZ"		"(Sauber)"	01.22,841	"SPAGNA"
"DINIZ"		"(Sauber)"	01.20,692	"CANADA "
"DINIZ"		"(Sauber)"	01.17,361	"FRANCIA"
"DINIZ"		"(Sauber)"	01.11,931	"AUSTRIA "
"DINIZ"		"(Sauber)"	01.49,936	"GERMANIA"
"DINIZ"		"(Sauber)"	01.19,451	"UNGHERIA "
"DINIZ"		"(Sauber)"	01.53,211	"BELGIAN"
"DINIZ"		"(Sauber)"	01.25,324	"ITALIAN"
"DINIZ"		"(Sauber)"	01.15,418	"USA "
"DINIZ"		"(Sauber)"	01.38,576	"GIAPPONE "
"DINIZ"		"(Sauber)"	01.40,521	"MALESIA "
"SALO"		"(Sauber)"	01.32,018	"AUSTRALIA "
"SALO"		"(Sauber)"	01.26,336	"SANMARINO"
"SALO"		"(Sauber)"	01.28,11	"GRAN BRETAGNA"
"SALO"		"(Sauber)"	01.22,443	"SPAGNA"
"SALO"		"(Sauber)"	01.19,814	"EUROPA"
"SALO"		"(Sauber)"	01.21,561	"MONACO (MONTECARLO)"
"SALO"		"(Sauber)"	01.20,445	"CANADA "
"SALO"		"(Sauber)"	01.17,223	"FRANCIA"
"SALO"		"(Sauber)"	01.11,761	"AUSTRIA "
"SALO"		"(Sauber)"	01.49,204	"GERMANIA"
"SALO"		"(Sauber)"	01.18,748	"UNGHERIA "
"SALO"		"(Sauber)"	01.53,357	"BELGIAN"
"SALO"		"(Sauber)"	01.25,322	"ITALIAN"
"SALO"		"(Sauber)"	01.15,881	"USA "
"SALO"		"(Sauber)"	01.38,49	"GIAPPONE "
"SALO"		"(Sauber)"	01.39,591	"MALESIA "
"BUTTON"		"(Williams)"	01.33,828	"AUSTRALIA "
"BUTTON"		"(Williams)"	01.15,49	"BRASILE "
"BUTTON"		"(Williams)"	01.27,135	"SANMARINO"
"BUTTON"		"(Williams)"	01.26,733	"GRAN BRETAGNA"
"BUTTON"		"(Williams)"	01.22,385	"SPAGNA"
"BUTTON"		"(Williams)"	01.18,887	"EUROPA"
"BUTTON"		"(Williams)"	01.21,605	"MONACO (MONTECARLO)"
"BUTTON"		"(Williams)"	01.20,534	"CANADA "
"BUTTON"		"(Williams)"	01.16,905	"FRANCIA"
"BUTTON"		"(Williams)"	01.12,337	"AUSTRIA "
"BUTTON"		"(Williams)"	01.49,215	"GERMANIA"
"BUTTON"		"(Williams)"	01.18,699	"UNGHERIA "
"BUTTON"		"(Williams)"	01.51,444	"BELGIAN"
"BUTTON"		"(Williams)"	01.24,907	"ITALIAN"
"BUTTON"		"(Williams)"	01.15,017	"USA "
"BUTTON"		"(Williams)"	01.36,628	"GIAPPONE "
"BUTTON"		"(Williams)"	01.39,653	"MALESIA "
"R.SCHUMACHER"	1	"(Williams)"	01.32,22	"AUSTRALIA "
"R.SCHUMACHER"	1	"(Williams)"	01.15,561	"BRASILE "
"R.SCHUMACHER"	1	"(Williams)"	01.25,871	"SANMARINO"
"R.SCHUMACHER"	1	"(Williams)"	01.26,786	"GRAN BRETAGNA"
"R.SCHUMACHER"	1	"(Williams)"	01.21,605	"SPAGNA"
"R.SCHUMACHER"	1	"(Williams)"	01.18,515	"EUROPA"
"R.SCHUMACHER"	1	"(Williams)"	01.20,742	"MONACO (MONTECARLO)"
"R.SCHUMACHER"	1	"(Williams)"	01.20,073	"CANADA "
"R.SCHUMACHER"	1	"(Williams)"	01.16,291	"FRANCIA"
"R.SCHUMACHER"	1	"(Williams)"	01.12,347	"AUSTRIA "
"R.SCHUMACHER"	1	"(Williams)"	01.48,841	"GERMANIA"
"R.SCHUMACHER"	1	"(Williams)"	01.18,321	"UNGHERIA "
"R.SCHUMACHER"	1	"(Williams)"	01.51,743	"BELGIAN"
"R.SCHUMACHER"	1	"(Williams)"	01.24,516	"ITALIAN"
"R.SCHUMACHER"	1	"(Williams)"	01.15,484	"USA "
"R.SCHUMACHER"	1	"(Williams)"	01.36,788	"GIAPPONE "
"R.SCHUMACHER"	1	"(Williams)"	01.38,739	"MALESIA "
"BURTI"		"Jaguar R1"	01.12,822	"AUSTRIA "
